Country,Holiday,Start Date,End Date
Australian Holidays,Australia Day,2017-01-26,2017-01-27
Australian Holidays,New Year's Day,2019-01-01,2019-01-02
Australian Holidays,New Year's Eve,2019-12-31,2020-01-01
Australian Holidays,Christmas Eve,2017-12-24,2017-12-25
Australian Holidays,Easter Monday,2018-04-02,2018-04-03
Australian Holidays,New Year's Eve,2018-12-31,2019-01-01
Australian Holidays,Australia Day observed,2019-01-28,2019-01-29
Australian Holidays,New Year's Day observed,2017-01-02,2017-01-03
Australian Holidays,Australia Day,2019-01-26,2019-01-27
Australian Holidays,Good Friday,2019-04-19,2019-04-20
Australian Holidays,Christmas Eve,2019-12-24,2019-12-25
Australian Holidays,Christmas Day,2019-12-25,2019-12-26
Australian Holidays,Boxing Day,2019-12-26,2019-12-27
Australian Holidays,Boxing Day,2017-12-26,2017-12-27
Australian Holidays,Christmas Eve,2018-12-24,2018-12-25
Australian Holidays,Good Friday,2017-04-14,2017-04-15
Australian Holidays,Christmas Day,2017-12-25,2017-12-26
Australian Holidays,Boxing Day,2018-12-26,2018-12-27
Australian Holidays,Easter Monday,2019-04-22,2019-04-23
Australian Holidays,Remembrance Day,2019-11-11,2019-11-12
Australian Holidays,New Year's Day,2017-01-01,2017-01-02
Australian Holidays,Remembrance Day,2017-11-11,2017-11-12
Australian Holidays,Australia Day,2018-01-26,2018-01-27
Australian Holidays,Easter Monday,2017-04-17,2017-04-18
Australian Holidays,New Year's Eve,2017-12-31,2018-01-01
Australian Holidays,New Year's Day,2018-01-01,2018-01-02
Australian Holidays,Good Friday,2018-03-30,2018-03-31
Australian Holidays,Remembrance Day,2018-11-11,2018-11-12
Australian Holidays,Christmas Day,2018-12-25,2018-12-26
Australian Holidays,Harmony Day,2017-03-21,2017-03-22
Australian Holidays,Harmony Day,2018-03-21,2018-03-22
Australian Holidays,Harmony Day,2019-03-21,2019-03-22
Australian Holidays,Daylight Saving Time ends,2017-04-02,2017-04-03
Australian Holidays,Daylight Saving Time starts,2017-10-01,2017-10-02
Australian Holidays,Daylight Saving Time ends,2018-04-01,2018-04-02
Australian Holidays,Daylight Saving Time starts,2018-10-07,2018-10-08
Australian Holidays,Daylight Saving Time ends,2019-04-07,2019-04-08
Australian Holidays,Daylight Saving Time starts,2019-10-06,2019-10-07
Australian Holidays,Western Australia Day (Western Australia),2017-06-05,2017-06-06
Australian Holidays,Family & Community Day (Australian Capital Territory),2017-09-25,2017-09-26
Australian Holidays,Adelaide Cup (South Australia),2018-03-12,2018-03-13
Australian Holidays,Western Australia Day (Western Australia),2018-06-04,2018-06-05
Australian Holidays,Family & Community Day (Australian Capital Territory),2018-09-24,2018-09-25
Australian Holidays,Adelaide Cup (South Australia),2019-03-11,2019-03-12
Australian Holidays,Easter Tuesday (Tasmania),2019-04-23,2019-04-24
Australian Holidays,New South Wales Bank Holiday (New South Wales),2019-08-05,2019-08-06
Australian Holidays,Melbourne Cup Day (Victoria),2017-11-07,2017-11-08
Australian Holidays,Northern Territory Picnic Day (Northern Territory),2018-08-06,2018-08-07
Australian Holidays,Recreation Day (Tasmania),2018-11-05,2018-11-06
Australian Holidays,Melbourne Cup Day (Victoria),2018-11-06,2018-11-07
Australian Holidays,Western Australia Day (Western Australia),2019-06-03,2019-06-04
Australian Holidays,Recreation Day (Tasmania),2019-11-04,2019-11-05
Australian Holidays,Royal Hobart Regatta (Tasmania),2017-02-13,2017-02-14
Australian Holidays,Royal Hobart Regatta (Tasmania),2018-02-12,2018-02-13
Australian Holidays,Northern Territory Picnic Day (Northern Territory),2019-08-05,2019-08-06
Australian Holidays,Queen's Birthday (Western Australia),2019-09-30,2019-10-01
Australian Holidays,Adelaide Cup (South Australia),2017-03-13,2017-03-14
Australian Holidays,Canberra Day (Australian Capital Territory),2017-03-13,2017-03-14
Australian Holidays,Easter Tuesday (Tasmania),2017-04-18,2017-04-19
Australian Holidays,New South Wales Bank Holiday (New South Wales),2017-08-07,2017-08-08
Australian Holidays,Northern Territory Picnic Day (Northern Territory),2017-08-07,2017-08-08
Australian Holidays,Recreation Day (Tasmania),2017-11-06,2017-11-07
Australian Holidays,Easter Tuesday (Tasmania),2018-04-03,2018-04-04
Australian Holidays,New South Wales Bank Holiday (New South Wales),2018-08-06,2018-08-07
Australian Holidays,Canberra Day (Australian Capital Territory),2019-03-11,2019-03-12
Australian Holidays,Family & Community Day (Australian Capital Territory),2019-09-30,2019-10-01
Australian Holidays,Canberra Day (Australian Capital Territory),2018-03-12,2018-03-13
Australian Holidays,Royal Hobart Regatta (Tasmania),2019-02-11,2019-02-12
Australian Holidays,Melbourne Cup Day (Victoria),2019-11-05,2019-11-06
Australian Holidays,Royal National Agricultural Show Day Queensland (Queensland),2017-08-16,2017-08-17
Australian Holidays,Royal National Agricultural Show Day Queensland (Queensland),2018-08-15,2018-08-16
Australian Holidays,Royal National Agricultural Show Day Queensland (Queensland),2019-08-14,2019-08-15
Australian Holidays,Queen's Birthday (Queensland),2019-10-07,2019-10-08
Australian Holidays,Labour Day (Western Australia),2017-03-06,2017-03-07
Australian Holidays,Labour Day (Victoria),2017-03-13,2017-03-14
Australian Holidays,Eight Hours Day (Tasmania),2017-03-13,2017-03-14
Australian Holidays,May Day (regional holiday),2017-05-01,2017-05-02
Australian Holidays,Labour Day (regional holiday),2017-10-02,2017-10-03
Australian Holidays,Labour Day (Victoria),2018-03-12,2018-03-13
Australian Holidays,May Day (regional holiday),2018-05-07,2018-05-08
Australian Holidays,Labour Day (regional holiday),2018-10-01,2018-10-02
Australian Holidays,Labour Day (Western Australia),2019-03-04,2019-03-05
Australian Holidays,Labour Day (Victoria),2019-03-11,2019-03-12
Australian Holidays,Eight Hours Day (Tasmania),2019-03-11,2019-03-12
Australian Holidays,May Day (regional holiday),2019-05-06,2019-05-07
Australian Holidays,Labour Day (regional holiday),2019-10-07,2019-10-08
Australian Holidays,Labour Day (Western Australia),2018-03-05,2018-03-06
Australian Holidays,Eight Hours Day (Tasmania),2018-03-12,2018-03-13
Australian Holidays,Holy Saturday (regional holiday),2017-04-15,2017-04-16
Australian Holidays,Queen's Birthday (regional holiday),2017-06-12,2017-06-13
Australian Holidays,Holy Saturday (regional holiday),2018-03-31,2018-04-01
Australian Holidays,Queen's Birthday (regional holiday),2018-06-11,2018-06-12
Australian Holidays,Holy Saturday (regional holiday),2019-04-20,2019-04-21
Australian Holidays,Queen's Birthday (regional holiday),2019-06-10,2019-06-11
Australian Holidays,Queen's Birthday (Western Australia),2017-09-25,2017-09-26
Australian Holidays,Queen's Birthday (Queensland),2017-10-02,2017-10-03
Australian Holidays,AFL Grand Final Friday (Victoria),2017-09-29,2017-09-30
Australian Holidays,Queen's Birthday (Western Australia),2018-09-24,2018-09-25
Australian Holidays,Queen's Birthday (Queensland),2018-10-01,2018-10-02
Australian Holidays,Reconciliation Day (Australian Capital Territory),2018-05-28,2018-05-29
Australian Holidays,ANZAC Day (regional holiday),2019-04-25,2019-04-26
Australian Holidays,Reconciliation Day (Australian Capital Territory),2019-05-27,2019-05-28
Australian Holidays,Easter Day (regional holiday),2017-04-16,2017-04-17
Australian Holidays,ANZAC Day (regional holiday),2017-04-25,2017-04-26
Australian Holidays,Easter Day (regional holiday),2018-04-01,2018-04-02
Australian Holidays,ANZAC Day (regional holiday),2018-04-25,2018-04-26
Australian Holidays,AFL Grand Final Friday (Victoria),2018-09-28,2018-09-29
Australian Holidays,Easter Day (regional holiday),2019-04-21,2019-04-22
Austrian Holidays,Corpus Christi,2017-06-15,2017-06-16
Austrian Holidays,St. Stephen's Day,2017-12-26,2017-12-27
Austrian Holidays,New Year's Day,2018-01-01,2018-01-02
Austrian Holidays,Epiphany,2018-01-06,2018-01-07
Austrian Holidays,Good Friday,2018-03-30,2018-03-31
Austrian Holidays,All Saints' Day,2018-11-01,2018-11-02
Austrian Holidays,All Souls' Day,2018-11-02,2018-11-03
Austrian Holidays,Palm Sunday,2019-04-14,2019-04-15
Austrian Holidays,Good Friday,2019-04-19,2019-04-20
Austrian Holidays,Easter Day,2019-04-21,2019-04-22
Austrian Holidays,Corpus Christi,2019-06-20,2019-06-21
Austrian Holidays,All Souls' Day,2019-11-02,2019-11-03
Austrian Holidays,Epiphany,2017-01-06,2017-01-07
Austrian Holidays,Good Friday,2017-04-14,2017-04-15
Austrian Holidays,Whit Sunday,2017-06-04,2017-06-05
Austrian Holidays,Whit Monday,2017-06-05,2017-06-06
Austrian Holidays,Assumption of Mary,2017-08-15,2017-08-16
Austrian Holidays,Immaculate Conception,2017-12-08,2017-12-09
Austrian Holidays,Corpus Christi,2018-05-31,2018-06-01
Austrian Holidays,Epiphany,2019-01-06,2019-01-07
Austrian Holidays,Ascension Day,2019-05-30,2019-05-31
Austrian Holidays,Palm Sunday,2017-04-09,2017-04-10
Austrian Holidays,Labor Day / May Day,2017-05-01,2017-05-02
Austrian Holidays,All Saints' Day,2017-11-01,2017-11-02
Austrian Holidays,First Sunday Advent,2017-12-03,2017-12-04
Austrian Holidays,Christmas Day,2017-12-25,2017-12-26
Austrian Holidays,New Year's Eve,2017-12-31,2018-01-01
Austrian Holidays,Easter Day,2018-04-01,2018-04-02
Austrian Holidays,Labor Day / May Day,2018-05-01,2018-05-02
Austrian Holidays,Whit Monday,2018-05-21,2018-05-22
Austrian Holidays,Immaculate Conception,2018-12-08,2018-12-09
Austrian Holidays,Assumption of Mary,2019-08-15,2019-08-16
Austrian Holidays,All Saints' Day,2019-11-01,2019-11-02
Austrian Holidays,First Sunday Advent,2019-12-01,2019-12-02
Austrian Holidays,St. Stephen's Day,2019-12-26,2019-12-27
Austrian Holidays,New Year's Day,2017-01-01,2017-01-02
Austrian Holidays,Easter Monday,2017-04-17,2017-04-18
Austrian Holidays,Ascension Day,2017-05-25,2017-05-26
Austrian Holidays,All Souls' Day,2017-11-02,2017-11-03
Austrian Holidays,Easter Monday,2018-04-02,2018-04-03
Austrian Holidays,Whit Sunday,2018-05-20,2018-05-21
Austrian Holidays,Assumption of Mary,2018-08-15,2018-08-16
Austrian Holidays,St. Stephen's Day,2018-12-26,2018-12-27
Austrian Holidays,New Year's Eve,2018-12-31,2019-01-01
Austrian Holidays,New Year's Day,2019-01-01,2019-01-02
Austrian Holidays,Easter Monday,2019-04-22,2019-04-23
Austrian Holidays,Labor Day / May Day,2019-05-01,2019-05-02
Austrian Holidays,Whit Sunday,2019-06-09,2019-06-10
Austrian Holidays,Christmas Day,2019-12-25,2019-12-26
Austrian Holidays,New Year's Eve,2019-12-31,2020-01-01
Austrian Holidays,Easter Day,2017-04-16,2017-04-17
Austrian Holidays,Palm Sunday,2018-03-25,2018-03-26
Austrian Holidays,Ascension Day,2018-05-10,2018-05-11
Austrian Holidays,First Sunday Advent,2018-12-02,2018-12-03
Austrian Holidays,Christmas Day,2018-12-25,2018-12-26
